country,Country Code,year,exports,imports,trade_difference
United Kingdom,GBR,2023,31.9122697629938,33.0801144117865,-1.1678446487926948
United States,USA,2000,10.6927727297913,14.4102128270623,-3.717440097271
United States,USA,2001,9.70344820873397,13.2637348067635,-3.5602865980295295
United States,USA,2002,9.13138565379718,13.1549985598093,-4.02361290601212
United States,USA,2003,9.03565240541354,13.5916448812678,-4.555992475854261
United States,USA,2004,9.62874787307988,14.8193087841105,-5.190560911030621
United States,USA,2005,9.98205641037558,15.6565009333013,-5.67444452292572
United States,USA,2006,10.641389509223,16.3338962966673,-5.692506787444302
United States,USA,2007,11.4637892950146,16.5482262680953,-5.084436973080699
United States,USA,2008,12.4258439246081,17.441943601098,-5.016099676489899
United States,USA,2009,10.9322190593537,13.8273085764833,-2.8950895171296
United States,USA,2010,12.3413554322086,15.878527508625,-3.5371720764164003
United States,USA,2011,13.5634637825829,17.2790147933311,-3.7155510107482
United States,USA,2012,13.6440512687054,17.0377883064876,-3.3937370377821985
United States,USA,2013,13.5534918818154,16.3878144030073,-2.8343225211919005
United States,USA,2014,13.5082142132235,16.3983551242045,-2.8901409109809997
United States,USA,2015,12.4111486301271,15.2770653039497,-2.8659166738226
United States,USA,2016,11.8881592273253,14.5644385592212,-2.6762793318959
United States,USA,2017,12.177481026766,14.9478571955214,-2.7703761687554014
United States,USA,2018,12.2871107596266,15.1582483706352,-2.8711376110085993
United States,USA,2019,11.7891974097286,14.4692832148142,-2.6800858050856
United States,USA,2020,10.1230809550527,13.0168627958622,-2.893781840809501
United States,USA,2021,10.8266687797107,14.4060572431224,-3.5793884634117
United States,USA,2022,11.6540970440015,15.2538011117724,-3.599704067770901
United States,USA,2023,11.0506737190927,13.878624456192,-2.8279507370993002
